,X,Y,Speed,Boosts,Mud_0,Mud_1,Mud_2,Mud_3,Speed_0,Speed_1,Speed_2,Speed_3,Move,Mud_Through,Objective
18066,740,2,15,0,1,1,2,2,2,0,1,0,0,2,10
18067,755,2,8,1,1,5,0,0,0,0,0,0,3,0,6
18068,770,2,15,0,3,4,2,3,1,0,0,0,0,1,10
18069,785,2,9,0,3,2,3,5,0,0,0,0,0,1,6
18070,794,2,8,0,2,1,3,4,0,0,0,0,0,2,5
18071,803,2,6,0,1,2,1,4,0,0,0,0,0,0,4
18072,811,2,8,0,1,4,2,3,0,0,0,0,0,1,8
18073,820,2,8,0,2,4,3,2,0,0,0,0,0,1,8
18074,829,2,8,0,2,3,3,1,1,0,0,0,0,2,5
18075,838,2,6,0,2,0,3,1,1,0,0,0,1,0,3
18076,843,1,6,0,3,0,3,1,0,0,0,0,0,0,2
18077,851,1,8,0,2,0,4,2,0,0,1,0,0,0,4
18078,860,1,9,0,0,1,2,1,0,0,2,0,2,0,0
18079,868,2,9,1,1,1,2,3,0,0,1,1,3,2,10
18080,883,2,8,1,2,2,0,2,0,0,0,1,3,0,5
18081,898,2,15,0,1,3,1,1,0,1,0,0,1,3,9
18082,912,1,6,0,3,3,3,1,0,1,0,0,0,0,4
18083,920,1,8,1,4,3,4,2,0,0,0,0,0,2,5
18084,929,1,6,1,3,2,3,2,0,0,0,0,3,2,4
18085,944,1,8,0,0,4,1,1,0,0,0,0,0,0,5
18086,953,1,9,0,3,6,1,1,0,0,0,0,2,0,5
18087,961,2,9,0,3,5,1,2,0,0,0,0,0,1,6
18088,970,2,8,0,0,3,1,3,0,0,0,0,0,0,4
18089,979,2,9,0,4,2,1,1,0,0,0,0,0,1,5
18090,988,2,8,0,4,3,2,2,0,0,0,0,0,0,5
18091,997,2,9,0,3,4,2,2,0,0,0,0,0,0,9
18092,1006,2,9,0,2,3,2,1,1,0,0,0,1,1,8
18093,1014,1,8,0,1,3,1,1,1,0,1,0,0,2,4
18094,1023,1,6,0,0,2,1,0,0,0,1,0,2,0,8
18095,1028,2,6,1,0,2,2,0,0,0,1,0,3,1,9
18096,1043,2,9,0,1,3,5,1,0,1,1,0,0,3,0
18097,1052,2,3,1,1,3,5,1,0,1,0,0,2,1,1
18098,1054,3,3,1,2,3,5,0,0,1,0,0,3,0,2
18099,1069,3,15,0,2,2,3,1,0,0,0,0,0,1,9
18100,1084,3,9,0,0,2,1,3,0,0,0,1,0,1,9
18101,1093,3,8,0,2,2,2,2,0,0,0,1,0,2,8
18102,1102,3,6,1,2,4,3,4,0,0,0,0,3,3,6
18103,1117,3,6,0,3,4,2,2,0,0,0,0,0,1,4
18104,1125,3,6,0,3,4,1,1,0,0,0,0,0,1,3
18105,1133,3,6,0,1,2,0,0,0,0,0,0,0,0,2
18106,1141,3,8,0,1,1,2,1,0,0,1,1,0,0,4
18107,1150,3,9,0,4,0,4,1,0,0,1,1,0,0,5
18108,1159,3,9,1,5,0,3,2,0,0,1,0,0,1,7
18109,1168,3,8,1,4,0,2,2,0,0,0,0,0,1,6
18110,1177,3,8,1,4,1,3,3,0,0,0,0,3,2,5
18111,1192,3,8,0,4,2,3,2,0,0,0,0,0,1,3
18112,1201,3,8,0,0,2,2,2,0,0,1,0,0,0,4
18113,1210,3,9,0,1,3,1,2,0,0,1,0,1,0,5
18114,1218,2,9,1,3,5,2,2,0,0,0,0,0,1,1
18115,1227,2,8,1,2,3,1,1,1,0,0,0,0,1,10
18116,1236,2,8,1,0,5,0,1,1,0,0,0,3,0,4
18117,1251,2,15,0,0,5,1,2,0,1,0,0,1,4,9
18118,1265,1,3,1,2,1,2,4,0,1,0,0,3,1,1
18119,1280,1,9,1,2,2,0,3,0,0,0,1,2,0,0
18120,1288,2,9,1,3,1,0,2,0,0,1,0,3,0,8
18121,1303,2,15,0,2,3,0,0,0,0,2,0,0,0,9
18122,1318,2,15,2,0,3,4,1,1,0,0,0,1,3,10
18123,1332,1,6,2,1,2,2,3,0,0,0,0,3,1,4
18124,1347,1,9,1,3,1,3,2,0,0,1,0,0,1,5
18125,1356,1,8,1,3,1,2,1,1,0,1,0,0,0,1
18126,1365,1,9,1,1,4,0,2,1,0,0,0,2,0,1
18127,1373,2,9,1,0,5,0,1,1,0,0,0,3,0,1
18128,1388,2,15,0,4,3,1,0,0,0,0,0,2,0,10
18129,1402,3,15,0,3,3,1,2,0,0,0,0,1,0,10
18130,1416,2,15,0,4,2,2,1,0,0,0,0,0,2,10
18131,1431,2,8,0,4,1,1,2,1,0,0,0,0,0,5
18132,1440,2,9,0,1,0,3,2,0,0,0,0,0,1,6
18133,1449,2,8,0,1,1,3,1,0,0,0,0,2,0,5
18134,1456,3,8,0,1,2,2,2,0,0,0,0,0,1,5
18135,1465,3,8,0,2,4,1,2,0,0,0,0,0,1,8
18136,1474,3,8,0,4,3,1,3,0,0,0,0,0,1,9
18137,1483,3,8,0,2,1,1,2,0,1,0,0,0,2,8
18138,1492,3,6,0,1,0,1,0,0,1,0,0,1,0,5
18139,0,0,5,0,2,1,0,1,0,0,0,0,0,0,4
18140,6,0,6,0,2,2,2,1,0,0,0,0,0,0,5
18141,14,0,8,0,3,2,2,2,0,0,0,0,0,2,8
18142,23,0,6,0,2,3,1,3,0,1,0,0,0,1,4
18143,31,0,6,0,3,1,0,2,0,1,0,0,2,0,3
18144,36,1,6,0,3,1,0,2,0,1,0,0,0,1,4
18145,44,1,6,1,2,2,1,1,0,0,0,0,3,1,4
18146,59,1,9,0,3,1,2,3,0,0,0,0,0,1,4
18147,68,1,8,0,2,0,2,1,0,1,0,0,0,0,3
18148,77,1,9,0,0,0,1,0,0,1,1,0,0,0,5
18149,86,1,9,1,3,1,3,0,0,0,1,0,0,0,6
18150,95,1,9,1,5,2,4,0,0,0,0,0,0,1,6
18151,104,1,8,1,4,3,2,2,0,0,0,0,3,1,5
18152,119,1,9,0,2,4,1,3,0,0,0,0,2,0,6
18153,127,2,9,0,1,2,1,4,0,0,0,0,0,0,6
18154,136,2,9,0,3,2,2,6,0,0,0,0,0,1,6
18155,145,2,8,0,4,2,2,2,1,0,0,0,0,1,4
18156,154,2,8,0,3,3,1,0,2,0,0,0,0,1,8
18157,163,2,8,0,1,2,2,1,1,0,0,0,0,0,5
18158,172,2,9,0,1,0,3,1,0,0,0,1,0,2,9
18159,181,2,6,0,2,1,2,5,0,0,0,1,0,0,8
18160,189,2,8,0,2,1,3,6,0,0,0,2,2,2,0
18161,196,3,3,1,1,3,1,4,0,0,0,1,3,4,1
18162,211,3,3,1,1,3,3,0,0,0,0,0,3,0,1
18163,226,3,15,0,2,1,4,1,0,0,0,0,0,1,10
18164,241,3,9,0,2,1,1,3,0,0,0,0,0,0,6
18165,250,3,9,0,3,1,4,4,0,1,0,0,1,0,4
18166,258,2,9,0,3,2,4,2,0,1,0,0,1,1,5
18167,266,1,8,0,1,1,4,2,0,1,0,0,0,0,0
18168,275,1,9,1,3,1,2,3,0,0,0,0,0,1,7
18169,284,1,8,1,4,2,1,1,0,0,0,0,3,0,5
18170,299,1,15,0,4,2,1,5,0,0,0,0,0,2,10
18171,314,1,8,0,2,0,1,3,0,0,0,0,0,0,4
18172,323,1,9,0,1,0,2,0,0,0,0,0,0,0,5
18173,332,1,9,0,3,0,1,0,0,0,0,0,0,0,5
18174,341,1,9,0,3,0,2,1,0,0,0,0,0,0,5
18175,350,1,9,0,2,0,2,1,0,0,0,0,0,0,5
18176,359,1,9,0,3,2,1,1,0,0,0,0,0,0,5
18177,368,1,9,0,4,4,0,2,0,0,0,0,2,0,5
18178,376,2,9,0,3,6,0,5,0,0,0,0,0,0,5
18179,385,2,9,0,1,3,0,5,0,2,0,0,0,0,4
